pool slots: 40 (42 MiB)
# coverage check (all arms must write 512 rows and match the shipped arm):
#   v0_shipped: reference(zeros=83)
#   v1_r1_tg256: zeros=83 maxrel=0.00e+00
#   v2_r1_tg1024: zeros=83 maxrel=0.00e+00
#   v3_r2_tg64: zeros=83 maxrel=0.00e+00
#   v4_r4_tg64: zeros=83 maxrel=0.00e+00
#   v5_ks2_tg128: zeros=83 maxrel=0.00e+00
#   v6_ks4_tg256: zeros=83 maxrel=0.00e+00
#   v7_ks8_tg256: zeros=83 maxrel=0.00e+00
#   c0_wide_known_bad: zeros=83 maxrel=0.00e+00
# dvfs warmup rounds: 807
variant             us/call   us/step     GB/s  us/call_min  spread%    thr
v0_shipped     5.656    220.58    197.0     5.610      4.67   16384
v1_r1_tg256     6.186    241.25    180.1     5.936      4.81   16384
v2_r1_tg1024     5.657    220.63    196.9     5.591      9.67   16384
v3_r2_tg64     5.765    224.83    193.3     5.704      6.37    8192
v4_r4_tg64     6.669    260.08    167.1     6.402      4.86    4096
v5_ks2_tg128     5.842    227.83    190.7     5.672      7.87   32768
v6_ks4_tg256     7.303    284.83    152.5     7.189      4.37   65536
v7_ks8_tg256    14.989    584.58     74.3    13.766     12.08  131072
c0_wide_known_bad     5.677    221.42    196.2     5.647      6.28   16384
s0_stream_16k_8B     4.986    194.46    223.4     4.965      3.51   16384
s1_stream_16k_16B     4.953    193.17    224.9     4.933      3.99   16384
s2_stream_64k_16B     4.920    191.87    226.5     4.897      2.12   65536
s3_stream_8k_16B     4.969    193.79    224.2     4.952      3.73    8192
