idx	arm	started_utc	wall_s	rc	decode_s_per_token	prefill_s_per_token	passed	max_abs_diff	golden_hash	worker_sha256
1	T0	2026-08-10T11:12:24Z	198	0	0.0129907620390625	0.00111035791015625	True	0	b9509697c08a2cf3	b7cf92799ee72767526e2cbc858a8d94b148621e07bf71194540751c4c10defc
2	T1	2026-08-10T11:15:42Z	195	0	0.0128946324921875	0.00111276871875	True	0	b9509697c08a2cf3	7e6b1a62c90560bad2eda126fdbed0d4472031637a7730f90f729b885a16aba2
3	T1	2026-08-10T11:18:57Z	153	0	0.0129408219453125	0.001122998046875	True	0	b9509697c08a2cf3	7e6b1a62c90560bad2eda126fdbed0d4472031637a7730f90f729b885a16aba2
4	T0	2026-08-10T11:21:31Z	196	0	0.012946739578125	0.00113023738671875	True	0	b9509697c08a2cf3	731854228e69e207d69ba04e97395f2ccf7e28be7656fd7ca21bb23a47508098
5	T1	2026-08-10T11:24:48Z	196	0	0.0129641754609375	0.001110994791015625	True	0	b9509697c08a2cf3	78f37671c8a8afed722bd59b6261e3dacf08b90aa6e5a9ce1254b0a16937e187
6	T0	2026-08-10T11:28:04Z	197	0	0.01292475390625	0.00111471085546875	True	0	b9509697c08a2cf3	a02135eca702c39e67225160cb9fb726aef971ff36b11fbb5ca3d884bfe3dac4
7	T0	2026-08-10T11:31:21Z	157	0	0.013059603515625	0.0011243291015625	True	0	b9509697c08a2cf3	a02135eca702c39e67225160cb9fb726aef971ff36b11fbb5ca3d884bfe3dac4
8	T1	2026-08-10T11:33:58Z	195	0	0.0129523001328125	0.001109915365234375	True	0	b9509697c08a2cf3	6b40290cae7a395cc84749d16f03702165f9527a2e339077452b1e81a1582d15
9	T0	2026-08-10T11:37:13Z	197	0	0.0129067626953125	0.001110151205078125	True	0	b9509697c08a2cf3	adadadc4d42ce8366ea3b8c7f36878b87def65f231a76ccbe6c33cdca8fd77f7
10	T1	2026-08-10T11:40:30Z	194	0	0.0128967021484375	0.001110119060546875	True	0	b9509697c08a2cf3	1d7014c498de92e7027be68a3c7fc4471698099f407c210fcd0fdba2b4331c33
11	T1	2026-08-10T11:43:44Z	152	0	0.0129535865859375	0.001110604330078125	True	0	b9509697c08a2cf3	1d7014c498de92e7027be68a3c7fc4471698099f407c210fcd0fdba2b4331c33
12	T0	2026-08-10T11:46:16Z	197	0	0.0130131552734375	0.001122583658203125	True	0	b9509697c08a2cf3	b3b6cf520e0b84ce8d519980fead32eb94ff4c681287605e61745b63f7525a6a
13	T1	2026-08-10T11:57:12Z	195	0	0.0127569153671875	0.00111171923828125	True	0	b9509697c08a2cf3	b8bd551551c5b2351c7b3bfff25fac3b9bc44557c16c641409429e0750f551b9
14	T0	2026-08-10T12:00:27Z	196	0	0.012936008140625	0.001122138833984375	True	0	b9509697c08a2cf3	d32b7e55e45b37279969e3b1aae332c70b80fabd958b9aeed07d3c670c3686ca
15	T0	2026-08-10T12:03:43Z	153	0	0.012995778	0.001110392416015625	True	0	b9509697c08a2cf3	d32b7e55e45b37279969e3b1aae332c70b80fabd958b9aeed07d3c670c3686ca
16	T1	2026-08-10T12:06:17Z	196	0	0.0129270149765625	0.001109348552734375	True	0	b9509697c08a2cf3	bdcfede389cdadafb90271524f4820fe893517127be1c35a079cd837db696140
17	T0	2026-08-10T12:09:34Z	198	0	0.0128605315703125	0.001125920654296875	True	0	b9509697c08a2cf3	7f45ffa4d8632931fb944e0c964e229e21a9e6a09e8fc29d8df967f7f03bead8
18	T1	2026-08-10T12:12:52Z	196	0	0.012938763671875	0.0011102685546875	True	0	b9509697c08a2cf3	88e99830fe6b107b69a40d114042404925a14ec9133d3c29d2eea024cf3905f1
19	T1	2026-08-10T12:16:08Z	157	0	0.012966788734375	0.001111082111328125	True	0	b9509697c08a2cf3	88e99830fe6b107b69a40d114042404925a14ec9133d3c29d2eea024cf3905f1
20	T0	2026-08-10T12:18:45Z	198	0	0.0129320231171875	0.001113044025390625	True	0	b9509697c08a2cf3	1213aeab91a156a653155ab05bdb356c405b3f5d66b74869b2c23fc00a68e945
21	T1	2026-08-10T12:22:03Z	197	0	0.0128834671171875	0.0011103177890625	True	0	b9509697c08a2cf3	257949a9a0c9c451866980b49b44514c881220ce752b0568a192f1f0656d40fd
22	T0	2026-08-10T12:25:20Z	198	0	0.0129274749375	0.0010965845546875	True	0	b9509697c08a2cf3	901dcad1f047a37c501136fecbf5db578edcf493c70fa65a7fe9763cfbcb24d1
23	T0	2026-08-10T12:28:38Z	159	0	0.0129538997421875	0.001138375732421875	True	0	b9509697c08a2cf3	901dcad1f047a37c501136fecbf5db578edcf493c70fa65a7fe9763cfbcb24d1
24	T1	2026-08-10T12:31:17Z	197	0	0.01288685384375	0.001110847982421875	True	0	b9509697c08a2cf3	e6814e085818888537938f6b219b46d58b38dbf1c3ac6de8c36904167e24793d
