tag	run	arm	steps	median_ms	mean_ms	divergences	seed_ms	load_s	rc
cf4	1	C	224	8.216	8.224	0	546.71	40.8	0
cf4	2	OPSG4	224	8.220	8.231	0	547.20	41.0	0
cf4	3	OPSG4	224	8.212	8.224	0	546.67	40.8	0
cf4	4	C	224	8.214	8.276	0	546.85	41.0	0
cf4	5	C	224	8.236	8.243	0	547.63	40.9	0
cf4	6	OPSG4	224	8.216	8.223	0	547.02	41.9	0
cf4	7	OPSG4	224	8.230	8.237	0	547.09	41.3	0
cf4	8	C	224	8.198	8.200	0	543.54	41.3	0
cf4	9	C	224	8.239	8.410	0	547.10	40.4	0
cf4	10	OPSG4	224	8.217	8.220	0	547.47	40.8	0
cf4	11	OPSG4	224	8.217	8.227	0	546.33	40.8	0
cf4	12	C	224	8.221	8.227	0	546.63	40.9	0
cf4	13	C	224	8.217	8.226	0	546.37	41.0	0
cf4	14	OPSG4	224	8.210	8.227	0	546.84	41.3	0
cf4	15	OPSG4	224	8.217	8.226	0	545.90	41.1	0
cf4	16	C	224	8.213	8.211	0	546.95	41.0	0
cf4	17	C	224	8.219	8.228	0	546.50	41.3	0
cf4	18	OPSG4	224	8.216	8.225	0	546.43	41.0	0
cf4	19	OPSG4	224	8.221	8.228	0	547.39	41.0	0
cf4	20	C	224	8.269	8.301	0	550.30	40.9	0
cf4	21	C	224	8.217	8.226	0	546.85	41.1	0
cf4	22	OPSG4	224	8.218	8.222	0	546.72	41.0	0
cf4	23	OPSG4	224	8.217	8.218	0	546.60	40.9	0
cf4	24	C	224	8.217	8.226	0	546.84	41.1	0
