tag	run	arm	steps	median_ms	mean_ms	divergences	seed_ms	load_s	rc
cf2	1	C	224	8.214	8.245	0	546.42	40.8	0
cf2	2	RP0	224	8.211	8.219	0	545.54	41.2	0
cf2	3	NS2	224	8.249	8.258	0	546.68	40.6	0
cf2	4	ASSPA	224	8.218	8.219	0	549.03	40.7	0
cf2	5	C	224	8.301	8.309	0	547.00	41.1	0
cf2	6	ASSPA	224	8.220	8.227	0	544.58	40.7	0
cf2	7	NS2	224	8.256	8.260	0	546.75	40.7	0
cf2	8	RP0	224	8.220	8.227	0	546.83	40.7	0
cf2	9	C	224	8.206	8.215	0	546.75	41.0	0
cf2	10	RP0	224	8.222	8.226	0	547.29	40.7	0
cf2	11	NS2	224	8.248	8.260	0	546.71	40.8	0
cf2	12	ASSPA	224	8.225	8.235	0	546.33	41.0	0
cf2	13	C	224	8.220	8.218	0	546.23	41.3	0
cf2	14	ASSPA	224	8.606	8.623	0	545.48	40.7	0
cf2	15	NS2	224	8.252	8.263	0	546.92	40.8	0
cf2	16	RP0	224	8.223	8.244	0	546.63	40.7	0
cf2	17	C	224	8.148	8.260	0	547.28	40.7	0
cf2	18	RP0	224	8.211	8.219	0	545.49	40.8	0
cf2	19	NS2	224	8.257	8.269	0	546.86	41.1	0
cf2	20	C	224	8.220	8.228	0	546.53	40.9	0
cf2	21	NS2	224	8.207	8.213	0	542.67	40.8	0
cf2	22	RP0	224	8.183	8.176	0	543.22	40.8	0
cf2	23	C	224	8.223	8.231	0	546.55	40.9	0
cf2	24	RP0	224	8.220	8.259	0	546.46	41.3	0
cf2	25	C	224	8.209	8.210	0	546.61	40.7	0
